Iteration,a,b,f(a),f(b),b - a,c,f(c)
0,-5.0,10.0,-124.716337814537,999.160928470924,15.0,2.5,14.8238563844531
1,-5.0,2.5,-124.716337814537,14.8238563844531,7.5,-1.25,-1.63780263760473
2,-1.25,2.5,-1.63780263760473,14.8238563844531,3.75,0.625,1.05510374450522
3,-1.25,0.625,-1.63780263760473,1.05510374450522,1.875,-0.3125,0.921050369923172
4,-1.25,-0.3125,-1.63780263760473,0.921050369923172,0.9375,-0.78125,0.233196725362955
5,-1.25,-0.78125,-1.63780263760473,0.233196725362955,0.46875,-1.015625,-0.520522333384913
6,-1.015625,-0.78125,-0.520522333384913,0.233196725362955,0.234375,-0.8984375,-0.102376555714323
7,-0.8984375,-0.78125,-0.102376555714323,0.233196725362955,0.1171875,-0.83984375,0.0752058566609678
8,-0.8984375,-0.83984375,-0.102376555714323,0.0752058566609678,0.05859375,-0.869140625,-0.0110703898750655
9,-0.869140625,-0.83984375,-0.0110703898750655,0.0752058566609678,0.029296875,-0.8544921875,0.0326882402387603
10,-0.869140625,-0.8544921875,-0.0110703898750655,0.0326882402387603,0.0146484375,-0.86181640625,0.0109650821936162
11,-0.869140625,-0.86181640625,-0.0110703898750655,0.0109650821936162,0.00732421875,-0.865478515625,-1.34859031386547e-5
12,-0.865478515625,-0.86181640625,-1.34859031386547e-5,0.0109650821936162,0.003662109375,-0.8636474609375,0.00548557404862304
13,-0.865478515625,-0.8636474609375,-1.34859031386547e-5,0.00548557404862304,0.0018310546875,-0.86456298828125,0.00273849005899973
14,-0.865478515625,-0.86456298828125,-1.34859031386547e-5,0.00273849005899973,0.00091552734375,-0.865020751953125,0.00136311382577137
15,-0.865478515625,-0.865020751953125,-1.34859031386547e-5,0.00136311382577137,0.000457763671875,-0.8652496337890625,0.000674966929684606
16,-0.865478515625,-0.8652496337890625,-1.34859031386547e-5,0.000674966929684606,0.0002288818359375,-0.8653640747070312,0.000330778759290995
17,-0.865478515625,-0.8653640747070312,-1.34859031386547e-5,0.000330778759290995,0.00011444091796875,-0.8654212951660156,0.000158655990071477
18,-0.865478515625,-0.8654212951660156,-1.34859031386547e-5,0.000158655990071477,5.7220458984375e-05,-0.8654499053955078,7.25874340264943e-5
19,-0.865478515625,-0.8654499053955078,-1.34859031386547e-5,7.25874340264943e-5,2.86102294921875e-05,-0.8654642105102539,2.95513630916844e-5
20,-0.865478515625,-0.8654642105102539,-1.34859031386547e-5,2.95513630916844e-5,1.430511474609375e-05,-0.865471363067627,8.03287938944131e-6
21,-0.865478515625,-0.865471363067627,-1.34859031386547e-5,8.03287938944131e-6,7.152557373046875e-06,-0.8654749393463135,-2.72647452126407e-6
22,-0.8654749393463135,-0.865471363067627,-2.72647452126407e-6,8.03287938944131e-6,3.5762786865234375e-06,-0.8654731512069702,2.65321177239652e-6
23,-0.8654749393463135,-0.8654731512069702,-2.72647452126407e-6,2.65321177239652e-6,1.7881393432617188e-06,-0.8654740452766418,-3.66290399123059e-8
24,-0.8654740452766418,-0.8654731512069702,-3.66290399123059e-8,2.65321177239652e-6,8.940696716308594e-07,-0.865473598241806,1.30829194988635e-6
25,-0.8654740452766418,-0.865473598241806,-3.66290399123059e-8,1.30829194988635e-6,4.470348358154297e-07,-0.8654738217592239,6.35831600925840e-7
26,-0.8654740452766418,-0.8654738217592239,-3.66290399123059e-8,6.35831600925840e-7,2.2351741790771484e-07,-0.8654739335179329,2.99601316977594e-7
27,-0.8654740452766418,-0.8654739335179329,-3.66290399123059e-8,2.99601316977594e-7,1.1175870895385742e-07,-0.8654739893972874,1.31486147636473e-7
28,-0.8654740452766418,-0.8654739893972874,-3.66290399123059e-8,1.31486147636473e-7,5.587935447692871e-08,-0.8654740173369646,4.74285561935517e-8
29,-0.8654740452766418,-0.8654740173369646,-3.66290399123059e-8,4.74285561935517e-8,2.7939677238464355e-08,-0.8654740313068032,5.39975875124554e-9
30,-0.8654740452766418,-0.8654740313068032,-3.66290399123059e-8,5.39975875124554e-9,1.3969838619232178e-08,-0.8654740382917225,-1.56146403584856e-8
31,-0.8654740382917225,-0.8654740313068032,-1.56146403584856e-8,5.39975875124554e-9,6.984919309616089e-09,-0.8654740347992629,-5.10744080362002e-9
32,-0.8654740347992629,-0.8654740313068032,-5.10744080362002e-9,5.39975875124554e-9,3.4924596548080444e-09,-0.865474033053033,1.46158973812760e-10
33,-0.8654740347992629,-0.865474033053033,-5.10744080362002e-9,1.46158973812760e-10,1.7462298274040222e-09,-0.865474033926148,-2.48064091490363e-9
34,-0.865474033926148,-0.865474033053033,-2.48064091490363e-9,1.46158973812760e-10,8.731149137020111e-10,-0.8654740334895905,-1.16724097054544e-9
35,-0.8654740334895905,-0.865474033053033,-1.16724097054544e-9,1.46158973812760e-10,4.3655745685100555e-10,-0.8654740332713118,-5.10540942855187e-10
36,-0.8654740332713118,-0.865474033053033,-5.10540942855187e-10,1.46158973812760e-10,2.1827872842550278e-10,-0.8654740331621724,-1.82191040032365e-10
37,-0.8654740331621724,-0.865474033053033,-1.82191040032365e-10,1.46158973812760e-10,1.0913936421275139e-10,-0.8654740331076027,-1.80160331098023e-11
38,-0.8654740331076027,-0.865474033053033,-1.80160331098023e-11,1.46158973812760e-10,5.4569682106375694e-11,-0.8654740330803179,6.40715258626301e-11
39,-0.8654740331076027,-0.8654740330803179,-1.80160331098023e-11,6.40715258626301e-11,2.7284841053187847e-11,-0.8654740330939603,2.30278018875651e-11
40,-0.8654740331076027,-0.8654740330939603,-1.80160331098023e-11,2.30278018875651e-11,1.3642420526593924e-11,-0.8654740331007815,2.50588438888144e-12
41,-0.8654740331076027,-0.8654740331007815,-1.80160331098023e-11,2.50588438888144e-12,6.821210263296962e-12,-0.8654740331041921,-7.75501884930918e-12
42,-0.8654740331041921,-0.8654740331007815,-7.75501884930918e-12,2.50588438888144e-12,3.410605131648481e-12,-0.8654740331024868,-2.62456723021387e-12
43,-0.8654740331024868,-0.8654740331007815,-2.62456723021387e-12,2.50588438888144e-12,1.7053025658242404e-12,-0.8654740331016342,-5.92859095149834e-14
