Iteration,a,b,f(a),f(b),b - a,c,f(c)
0,2.0,5.0,0.223323583816937,0.775347980516919,3.0,3.5,0.579152801137866
1,3.5,5.0,0.579152801137866,0.775347980516919,1.5,4.25,0.696288909487104
2,4.25,5.0,0.696288909487104,0.775347980516919,0.75,4.625,0.740001286173189
3,4.625,5.0,0.740001286173189,0.775347980516919,0.375,4.8125,0.758641551890338
4,4.8125,5.0,0.758641551890338,0.775347980516919,0.1875,4.90625,0.767226624163275
5,4.90625,5.0,0.767226624163275,0.775347980516919,0.09375,4.953125,0.771344040240425
6,4.953125,5.0,0.771344040240425,0.775347980516919,0.046875,4.9765625,0.773360042218926
7,4.9765625,5.0,0.773360042218926,0.775347980516919,0.0234375,4.98828125,0.774357500298163
8,4.98828125,5.0,0.774357500298163,0.775347980516919,0.01171875,4.994140625,0.774853610264662
9,4.994140625,5.0,0.774853610264662,0.775347980516919,0.005859375,4.9970703125,0.775101012558352
10,4.9970703125,5.0,0.775101012558352,0.775347980516919,0.0029296875,4.99853515625,0.775224550792449
11,4.99853515625,5.0,0.775224550792449,0.775347980516919,0.00146484375,4.999267578125,0.775286279213754
12,4.999267578125,5.0,0.775286279213754,0.775347980516919,0.000732421875,4.9996337890625,0.775317133254525
13,4.9996337890625,5.0,0.775317133254525,0.775347980516919,0.0003662109375,4.99981689453125,0.775332557732946
14,4.99981689453125,5.0,0.775332557732946,0.775347980516919,0.00018310546875,4.999908447265625,0.775340269336730
15,4.999908447265625,5.0,0.775340269336730,0.775347980516919,9.1552734375e-05,4.9999542236328125,0.775344124979772
16,4.9999542236328125,5.0,0.775344124979772,0.775347980516919,4.57763671875e-05,4.999977111816406,0.775346052761583
17,4.999977111816406,5.0,0.775346052761583,0.775347980516919,2.288818359375e-05,4.999988555908203,0.775347016642560
18,4.999988555908203,5.0,0.775347016642560,0.775347980516919,1.1444091796875e-05,4.999994277954102,0.775347498580567
19,4.999994277954102,5.0,0.775347498580567,0.775347980516919,5.7220458984375e-06,4.999997138977051,0.775347739548950
20,4.999997138977051,5.0,0.775347739548950,0.775347980516919,2.86102294921875e-06,4.999998569488525,0.775347860032986
21,4.999998569488525,5.0,0.775347860032986,0.775347980516919,1.430511474609375e-06,4.999999284744263,0.775347920274965
22,4.999999284744263,5.0,0.775347920274965,0.775347980516919,7.152557373046875e-07,4.999999642372131,0.775347950395945
23,4.999999642372131,5.0,0.775347950395945,0.775347980516919,3.5762786865234375e-07,4.999999821186066,0.775347965456433
24,4.999999821186066,5.0,0.775347965456433,0.775347980516919,1.7881393432617188e-07,4.999999910593033,0.775347972986676
25,4.999999910593033,5.0,0.775347972986676,0.775347980516919,8.940696716308594e-08,4.999999955296516,0.775347976751798
26,4.999999955296516,5.0,0.775347976751798,0.775347980516919,4.470348358154297e-08,4.999999977648258,0.775347978634358
27,4.999999977648258,5.0,0.775347978634358,0.775347980516919,2.2351741790771484e-08,4.999999988824129,0.775347979575639
28,4.999999988824129,5.0,0.775347979575639,0.775347980516919,1.1175870895385742e-08,4.9999999944120646,0.775347980046279
29,4.9999999944120646,5.0,0.775347980046279,0.775347980516919,5.587935447692871e-09,4.999999997206032,0.775347980281599
30,4.999999997206032,5.0,0.775347980281599,0.775347980516919,2.7939677238464355e-09,4.999999998603016,0.775347980399259
31,4.999999998603016,5.0,0.775347980399259,0.775347980516919,1.3969838619232178e-09,4.999999999301508,0.775347980458089
32,4.999999999301508,5.0,0.775347980458089,0.775347980516919,6.984919309616089e-10,4.999999999650754,0.775347980487504
33,4.999999999650754,5.0,0.775347980487504,0.775347980516919,3.4924596548080444e-10,4.999999999825377,0.775347980502211
