Iteration,a,b,f(a),f(b),b - a,c,f(c)
0,0.0,1.5,-1,0.0832202015907618,1.5,0.75,0.0882350420200348
1,0.0,0.75,-1,0.0882350420200348,0.75,0.375,-0.439704534417859
2,0.375,0.75,-0.439704534417859,0.0882350420200348,0.375,0.5625,-0.151517896076250
3,0.5625,0.75,-0.151517896076250,0.0882350420200348,0.1875,0.65625,-0.0232862137562994
4,0.65625,0.75,-0.0232862137562994,0.0882350420200348,0.09375,0.703125,0.0348229895685320
5,0.65625,0.703125,-0.0232862137562994,0.0348229895685320,0.046875,0.6796875,0.00632455082376482
6,0.65625,0.6796875,-0.0232862137562994,0.00632455082376482,0.0234375,0.66796875,-0.00834580078873659
7,0.66796875,0.6796875,-0.00834580078873659,0.00632455082376482,0.01171875,0.673828125,-0.000976360140558352
8,0.673828125,0.6796875,-0.000976360140558352,0.00632455082376482,0.005859375,0.6767578125,0.00268272443778006
9,0.673828125,0.6767578125,-0.000976360140558352,0.00268272443778006,0.0029296875,0.67529296875,0.000855331584970198
10,0.673828125,0.67529296875,-0.000976360140558352,0.000855331584970198,0.00146484375,0.674560546875,-5.99779004363254e-5
11,0.674560546875,0.67529296875,-5.99779004363254e-5,0.000855331584970198,0.000732421875,0.6749267578125,0.000397811059413056
12,0.674560546875,0.6749267578125,-5.99779004363254e-5,0.000397811059413056,0.0003662109375,0.67474365234375,0.000168950118429767
13,0.674560546875,0.67474365234375,-5.99779004363254e-5,0.000168950118429767,0.00018310546875,0.674652099609375,5.44944918132728e-5
14,0.674560546875,0.674652099609375,-5.99779004363254e-5,5.44944918132728e-5,9.1552734375e-05,0.6746063232421875,-2.73960884711322e-6
15,0.6746063232421875,0.674652099609375,-2.73960884711322e-6,5.44944918132728e-5,4.57763671875e-05,0.6746292114257812,2.58779653791175e-5
16,0.6746063232421875,0.6746292114257812,-2.73960884711322e-6,2.58779653791175e-5,2.288818359375e-05,0.6746177673339844,1.15693092362923e-5
17,0.6746063232421875,0.6746177673339844,-2.73960884711322e-6,1.15693092362923e-5,1.1444091796875e-05,0.6746120452880859,4.41488293667636e-6
18,0.6746063232421875,0.6746120452880859,-2.73960884711322e-6,4.41488293667636e-6,5.7220458984375e-06,0.6746091842651367,8.37645230178374e-7
19,0.6746063232421875,0.6746091842651367,-2.73960884711322e-6,8.37645230178374e-7,2.86102294921875e-06,0.6746077537536621,-9.50979762270876e-7
20,0.6746077537536621,0.6746091842651367,-9.50979762270876e-7,8.37645230178374e-7,1.430511474609375e-06,0.6746084690093994,-5.66667543999699e-8
