Iteration,step,f(step),f'(step)
0,0.0,-0.100000000000000,0
1,5.0,0.775347980516919,0.0842243374885683
2,-4.20574745538552,-377.272060231481,593.183822310718
3,-3.56973540306447,-134.090196369567,226.234297083759
4,-2.97703041492590,-47.2770149394903,86.9850123174856
5,-2.43352281884792,-16.5118532507688,33.7525338897709
6,-1.94431945104468,-5.71056351159022,13.2102931379721
7,-1.51203808893201,-1.96260964901999,5.18519705321859
8,-1.13353566580776,-0.681008822102275,1.99585353631042
9,-0.792323843540876,-0.251887479021496,0.693229967238250
10,-0.428970424148193,-0.118210348841763,0.141294153870113
11,0.407655477235031,-0.0916568390896119,0.0552731281305652
12,2.06590863188012,0.241156759088997,0.270383076874751
13,1.17400089166046,0.0149242004871665,0.213031953009103
14,1.10394473212026,0.000379416354086004,0.202035441813868
15,1.10206676283586,2.89394850416791e-7,0.201727125449193
16,1.10206532825016,1.69086966650411e-13,0.201726889658143
