Iteration,a,b,f(a),f(b),b - a,c,f(c)
0,0.8,1.3,0.841785390770605,23.2144532563191,0.5,0.781187192429856,0.874760237099026
1,0.781187192429856,1.3,0.874760237099026,23.2144532563191,0.518812807570144,0.760871926048639,0.903730514842489
2,0.760871926048639,1.3,0.903730514842489,23.2144532563191,0.539128073951361,0.739033705140971,0.928348616160668
3,0.739033705140971,1.3,0.928348616160668,23.2144532563191,0.560966294859029,0.715666127363078,0.948525121779578
4,0.715666127363078,1.3,0.948525121779578,23.2144532563191,0.584333872636922,0.690773594055963,0.964427890121845
5,0.690773594055963,1.3,0.964427890121845,23.2144532563191,0.609226405944037,0.664366660687529,0.976445481920922
6,0.664366660687529,1.3,0.976445481920922,23.2144532563191,0.635633339312471,0.636456727899192,0.985123422107304
7,0.636456727899192,1.3,0.985123422107304,23.2144532563191,0.663543272100808,0.607050892284562,0.991087546371602
8,0.607050892284562,1.3,0.991087546371602,23.2144532563191,0.692949107715438,0.576147687077501,0.994969744026962
9,0.576147687077501,1.3,0.994969744026962,23.2144532563191,0.723852312922499,0.543734190602509,0.997348184963540
10,0.543734190602509,1.3,0.997348184963540,23.2144532563191,0.756265809397491,0.509784658027041,0.998708564386867
11,0.509784658027041,1.3,0.998708564386867,23.2144532563191,0.790215341972959,0.474260535802820,0.999427254077913
12,0.474260535802820,1.3,0.999427254077913,23.2144532563191,0.825739464197180,0.437111512200368,0.999773019572531
13,0.437111512200368,1.3,0.999773019572531,23.2144532563191,0.862888487799632,0.398277163931209,0.999921651509468
14,0.398277163931209,1.3,0.999921651509468,23.2144532563191,0.901722836068791,0.357688768754311,0.999977269852012
15,0.357688768754311,1.3,0.999977269852012,23.2144532563191,0.942311231245689,0.315270941165400,0.999994736233530
16,0.315270941165400,1.3,0.999994736233530,23.2144532563191,0.984729058834600,0.270942880026280,0.999999100501464
17,0.270942880026280,1.3,0.999999100501464,23.2144532563191,1.02905711997372,0.224619158222436,0.999999900219765
18,0.224619158222436,1.3,0.999999900219765,23.2144532563191,1.07538084177756,0.176210101414358,0.999999994296856
19,0.176210101414358,1.3,0.999999994296856,23.2144532563191,1.12378989858564,0.125621870458536,0.999999999896618
20,0.125621870458536,1.3,0.999999999896618,23.2144532563191,1.17437812954146,0.0727563726736409,0.999999999999845
21,0.0727563726736409,1.3,0.999999999999845,23.2144532563191,1.22724362732636,0.0175110955036048,1.00000000000000
22,0.0175110955036048,1.3,1.00000000000000,23.2144532563191,1.28248890449640,-0.0402210885703642,1.00000000000000
23,-0.0402210885703642,1.3,1.00000000000000,23.2144532563191,1.34022108857036,-0.100552129497024,0.999999999991276
24,-0.100552129497024,1.3,0.999999999991276,23.2144532563191,1.40055212949702,-0.163599016734092,0.999999996847175
25,-0.163599016734092,1.3,0.999999996847175,23.2144532563191,1.46359901673409,-0.229484005890670,0.999999807886346
26,-0.229484005890670,1.3,0.999999807886346,23.2144532563191,1.52948400589067,-0.298334842829168,0.999995300237700
27,-0.298334842829168,1.3,0.999995300237700,23.2144532563191,1.59833484282917,-0.370284711432547,0.999934073060261
28,-0.370284711432547,1.3,0.999934073060261,23.2144532563191,1.67028471143255,-0.445468629702166,0.999364150356842
29,-0.445468629702166,1.3,0.999364150356842,23.2144532563191,1.74546862970217,-0.523989979122667,0.995320022330440
30,-0.523989979122667,1.3,0.995320022330440,23.2144532563191,1.82398997912267,-0.605696755333621,0.972069121818865
31,-0.605696755333621,1.3,0.972069121818865,23.2144532563191,1.90569675533362,-0.688982295238349,0.862720250109407
32,-0.688982295238349,1.3,0.862720250109407,23.2144532563191,1.98898229523835,-0.765751971340622,0.491963148157328
33,-0.765751971340622,1.3,0.491963148157328,23.2144532563191,2.06575197134062,-0.810477432251612,-0.0273844321092166
34,-0.765751971340622,-0.810477432251612,0.491963148157328,-0.0273844321092166,-0.0447254609109896,-0.808119124647210,0.00911171631461782
35,-0.808119124647210,-0.810477432251612,0.00911171631461782,-0.0273844321092166,-0.00235830760440203,-0.808707905403589,0.000113584786867515
36,-0.808707905403589,-0.810477432251612,0.000113584786867515,-0.0273844321092166,-0.00176952684802278,-0.808715214706316,1.40785213387229e-6
37,-0.808715214706316,-0.810477432251612,1.40785213387229e-6,-0.0273844321092166,-0.00176221754529571,-0.808715305298452,1.74486993742562e-8
