Iteration,a,b,f(a),f(b),b - a,c,f(c)
0,0.0,1.5,-1,0.0832202015907618,1.5,1.38475999413340,0.193066522552612
1,0.0,1.38475999413340,-1,0.193066522552612,1.38475999413340,1.16067291132321,0.298215839011865
2,0.0,1.16067291132321,-1,0.298215839011865,1.16067291132321,0.894052342025539,0.218267562923068
3,0.0,0.894052342025539,-1,0.218267562923068,0.894052342025539,0.733871908959295,0.0704179404315891
4,0.0,0.733871908959295,-1,0.0704179404315891,0.733871908959295,0.685593805222846,0.0136135652942162
5,0.0,0.685593805222846,-1,0.0136135652942162,0.685593805222846,0.676385783199184,0.00221902593487766
6,0.0,0.676385783199184,-1,0.00221902593487766,0.676385783199184,0.674888188805083,0.000349609779450977
7,0.0,0.674888188805083,-1,0.000349609779450977,0.674888188805083,0.674652323754969,5.47747302914736e-5
8,0.0,0.674652323754969,-1,5.47747302914736e-5,0.674652323754969,0.674615371879924,8.57421722988416e-6
9,0.0,0.674615371879924,-1,8.57421722988416e-6,0.674615371879924,0.674609587630774,1.34198847734357e-6
10,0.0,0.674609587630774,-1,1.34198847734357e-6,0.674609587630774,0.674608682313696,2.10035986047963e-7
11,0.0,0.674608682313696,-1,2.10035986047963e-7,0.674608682313696,0.674608540621626,3.28728356757679e-8
